name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
rajasthan,2023-05-02,89.6,71.4,79.4,90.3,71.4,79.9,65.2,64.3,0,0,0,rain,0,0,16.6,15,89.9,1009.1,57.3,2.8,271.5,23.3,9,10,2023-05-02T05:48:07,2023-05-02T18:59:57,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2023-05-03,89.6,71.6,78.9,90.3,71.6,79.2,64.5,63.7,0.118,100,4.17,rain,0,0,24.2,15,136.8,1010.7,55.7,2.4,284,24.5,10,10,2023-05-03T05:47:21,2023-05-03T19:00:30,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VIJP,42348099999"
rajasthan,2023-05-04,89.6,69.6,79.8,92.3,69.6,80.9,65.3,63.5,0.079,100,4.17,rain,0,0,13.9,10.3,102.7,1010.6,35.7,2.4,271.6,23.5,9,10,2023-05-04T05:46:35,2023-05-04T19:01:04,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VIJP,42348099999"
rajasthan,2023-05-05,95.1,75.2,85.4,95.3,75.2,85.6,62.4,48.9,0,0,0,,0,0,13.6,6.9,75.4,1009.2,44.6,3.2,269.7,23.3,8,10,2023-05-05T05:45:51,2023-05-05T19:01:37,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,remote,42348099999"
rajasthan,2023-05-06,98.6,77,87.1,97.8,77,86.8,59.3,41,0,0,0,,0,0,17.2,11.4,336.5,1007.7,33.2,2.8,298.3,25.8,10,10,2023-05-06T05:45:08,2023-05-06T19:02:10,0.52,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VIJP,42348099999"
rajasthan,2023-05-07,100.4,77,88.5,98.5,77,87.5,56.6,36.3,0.118,100,4.17,rain,0,0,28.9,17.2,261.3,1007,33.7,2.8,302.7,26.3,9,10,2023-05-07T05:44:25,2023-05-07T19:02:44,0.56,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"VIJP,42348099999"
rajasthan,2023-05-08,100.7,78.8,90.4,95.1,78.8,87.8,46.1,27.9,0,0,0,,0,0,23.9,13.7,291,1006,12.7,2.6,334.1,29,10,10,2023-05-08T05:43:44,2023-05-08T19:03:18,0.59,Clear,Clear conditions throughout the day.,clear-day,"VIJP,42348099999"
rajasthan,2023-05-09,102.2,78.8,92,96.2,78.8,88.1,36.3,16.6,0,0,0,,0,0,21.9,12.8,354.7,1008.4,0,3,340,29.3,10,10,2023-05-09T05:43:04,2023-05-09T19:03:51,0.63,Clear,Clear conditions throughout the day.,clear-day,"VIJP,42348099999"
rajasthan,2023-05-10,102.2,75.3,89.9,96.6,75.3,86.4,38.5,18.6,0,0,0,,0,0,23.7,12.8,335.6,1008.4,0,2.9,337.1,29.2,10,10,2023-05-10T05:42:25,2023-05-10T19:04:25,0.66,Clear,Clear conditions throughout the day.,clear-day,"VIJP,42348099999"
rajasthan,2023-05-11,105.8,75.2,91.3,99.3,75.2,87.9,39.9,19.8,0,0,0,,0,0,17.4,11.4,310.4,1008.7,0,3,336.4,29.3,10,10,2023-05-11T05:41:47,2023-05-11T19:04:59,0.7,Clear,Clear conditions throughout the day.,clear-day,"VIJP,42348099999"
rajasthan,2023-05-12,107.6,80.6,93.7,101.3,79.4,90,42.9,19.1,0,0,0,,0,0,23.5,9.2,246.4,1007.6,0.9,2.8,327.4,28.2,10,10,2023-05-12T05:41:10,2023-05-12T19:05:32,0.75,Clear,Clear conditions throughout the day.,clear-day,"VIJP,42348099999"
rajasthan,2023-05-13,109.5,80.4,96.6,103.4,79.9,92.9,44.9,19.4,0,0,0,,0,0,23.7,17.2,312.7,1006.2,24.9,2.7,320.1,27.6,10,10,2023-05-13T05:40:34,2023-05-13T19:06:06,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
rajasthan,2023-05-14,104,73.4,92.9,98.9,73.4,90.4,51.5,27.7,0.197,100,4.17,rain,0,0,34.4,23,297.2,1004.9,72.1,2,299.3,25.8,10,10,2023-05-14T05:39:59,2023-05-14T19:06:40,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VIJP,42348099999"
rajasthan,2023-05-15,104,75.2,89.4,105.4,75.2,90.6,62.6,45,0,0,0,,0,0,25.7,13.9,278.2,1004.6,22.9,2.6,326.7,28.1,10,10,2023-05-15T05:39:26,2023-05-15T19:07:13,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
rajasthan,2023-05-16,102.2,78.8,91.2,100.4,78.8,91.1,59.2,36.4,0,0,0,rain,0,0,29.3,17.2,298.1,1006.9,29.5,2.6,301.7,26,10,10,2023-05-16T05:38:54,2023-05-16T19:07:47,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
rajasthan,2023-05-17,103.8,86.8,94.5,108,87.6,96.3,62.4,36.2,0,0,0,,0,0,22.6,12.8,283.8,1007.4,23.1,2.5,301.1,25.9,10,60,2023-05-17T05:38:23,2023-05-17T19:08:20,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VIJP,42348099999"
